ImageSceneContainerName::Image Scene Container Name ;ImageSceneRow::Image Scene Row Index!!I;ImageSceneColumn::Image Scene Column Index!!I;ID::ID!!I;Index::Index!!I;IntensityMean_mCher::Intensity Mean Value of channel 'mCher'!!R;Area::Area!!R;Perimeter::Perimeter!!R;Roundness::Roundness!!R;FeretRatio::Feret Ratio!!R
;;;;;"Gray";"µm²";"µm";;
"E5";5;5;3;2;5782,2851652575;1116,1579889338;126,62708963501;0,88260506185979;0,92331414869179
"E5";5;5;4;3;4722,87;171,58462550865;57,690270479519;0,37448591322222;0,4218328244934
"E5";5;5;5;4;4120,4259259259;138,98354666201;45,808050204146;0,69216946617839;0,75307287388125
"E5";5;5;6;5;4992,6619897959;2017,8351959817;179,62032717464;0,58437518721179;0,67704212140236
"E5";5;5;7;6;3816,6949152542;151,85239357516;48,427856498578;0,66675853772674;0,76923245255038
"E5";5;5;8;7;4752,9317073171;175,87424114637;50,822918943739;0,6575510354593;0,70268515523896
"E5";5;5;9;8;4222,926056338;243,65016822228;60,852656422923;0,65273810843191;0,67794880695308
"E5";5;5;10;9;4925,981981982;95,2294671573;37,181307822606;0,67946992356874;0,69337562461197
"E5";5;5;11;10;3854,53125;192,17478056969;52,675401739927;0,6956847466807;0,74082977888695
"E5";5;5;12;11;3712,09;85,792312754325;41,111017264254;0,40551941221779;0,45219845059838
"E5";5;5;13;12;3929,8388888889;154,42616295779;47,660533000334;0,6780595298916;0,75486357695508
"E6";5;6;2;1;4259,5384615385;156,14200921287;51,140754743439;0,51612638839398;0,56632863970677
"E6";5;6;3;2;4270,5837320574;358,61186731308;72,417040898596;0,66446028936567;0,69582735964134
"E6";5;6;4;3;4898,695;171,58462550865;49,195179996822;0,83218288373972;0,8892973851783
"E6";5;6;5;4;4047,0446428571;96,087390284844;36,863472022906;0,77083828009438;0,8087424723925
"E6";5;6;6;5;5061,7949599084;1497,9337806905;148,98853508811;0,71027733239518;0,71172198021519
"E6";5;6;7;6;5997,5737386805;1326,3491551819;167,06387535145;0,48724323540755;0,56639003762197
"E6";5;6;8;7;4013,5294117647;72,923465841176;34,468409577746;0,58501119471449;0,65594675631513
"E6";5;6;9;8;5597,7113821138;211,04908937564;55,837787683331;0,69603761778856;0,79763424579033
"E6";5;6;10;9;5377,1882640587;350,89055916519;71,10713775138;0,76581992678986;0,84796296219795
"E7";5;7;2;1;3732,5428571429;60,054618928027;34,243665728474;0,4284945463947;0,55611731195781
"E7";5;7;3;2;4670,746701847;650,30573067778;97,173548796857;0,71762510366707;0,74968954140307
"E7";5;7;4;3;4537,9591836735;210,1911662481;54,527884536115;0,72042504856795;0,81555366665619
"E7";5;7;5;4;4309,17593361;1033,7973686896;133,62609306963;0,61347121646838;0,67003618924157
"E7";5;7;6;5;4369,5279481936;2517,1464562119;235,68285870724;0,61565489836119;0,72215712192101
"E7";5;7;7;6;4154,6303191489;322,57909595626;71,331881600652;0,58312996470331;0,62659736734415
"E7";5;7;8;7;4304,893111639;361,18563669571;71,874461249624;0,73939311591619;0,77993945180939
"E7";5;7;9;8;4936,3976190476;360,32771356816;72,734876698296;0,74272841248041;0,78262660804401
"E7";5;7;10;9;5847,2003745318;1374,3928503243;150,16678633648;0,7274651539429;0,79317510140535
