,type,feretmax,fiberlength,feretmin,maxcircle,diamfilled,maxwidth,feretratio,formcircle,areafilled,areaconv,radius,perimfilled,perimconv,perimcrotfilled,densmax,densmean,densmin,densstd,denssum,rectheight,rectwidth,boundleft,boundtop,boundwidth,boundheight,imgname
44,Metallic,87.1136438373559,100.340786204357,9.81282768037365,4.39110070257611,17.6597171019469,7.13553864168618,0.112643981449043,0.081040703143951,244.938675844901,587.831267256729,8.82985855097345,205.563708280085,181.905109787298,194.886615999943,198.0,85.2484624846249,44.0,26.1428051569391,69307.0,9.93223458402307,87.1136438373559,10921.7652224824,10757.0989461358,10.4288641686183,86.1753512880562,ShiftImage__
45,Non-metallic,86.8066696139364,121.560583781693,45.5497434708287,40.617681498829,59.3546033262498,46.1065573770492,0.524726310471378,0.464312370711183,2766.93333205359,3093.93737322241,29.6773016631249,288.644695765959,216.523506387134,273.652331215561,184.0,49.4239118577506,23.0,14.4839023522794,453069.0,52.7684117758686,86.8066696139364,9727.38583138173,3365.77868852459,78.490925058548,53.2420960187354,ShiftImage__
46,Non-metallic,85.3292205009795,97.3642935007634,41.0170568415692,31.8354800936768,54.227911276796,40.068793911007,0.480691802887129,0.550592665883472,2309.59395944282,2600.75227001656,27.113955638398,242.17090648849,202.222433784956,229.592416161684,105.0,58.0737116764514,37.0,11.3716516926188,445135.0,41.5590203450821,85.3292205009795,3366.87646370023,7701.44174473068,47.2043325526932,79.588700234192,ShiftImage__
47,Non-metallic,85.2167583083507,84.744376361481,30.7718218189388,26.3466042154567,48.5037092278729,27.4443793911007,0.36110059136013106,0.5688893733011751,1847.73542307107,2088.15802498957,24.2518546139364,213.096022075903,194.714674050651,202.027697266665,70.0,34.4037175933475,16.0,14.4919752964405,210998.0,31.9167379896066,85.2167583083507,3087.49268149883,12247.3287470726,45.0087822014051,77.393149882904,ShiftImage__
48,Non-metallic,84.7621556580288,88.7403089089964,21.4119140858278,17.5644028103044,37.1302185706233,19.2110655737705,0.252611721818564,0.37143161147632703,1082.79163712986,1384.69064962261,18.5651092853117,201.884220880503,186.465172318115,191.398243203409,70.0,37.8608792431831,17.0,13.3192723537256,136072.0,23.6994941270912,84.7621556580288,12836.8340163934,12045.8870023419,30.7377049180328,83.4309133489461,ShiftImage__
49,Non-metallic,84.6920277540912,161.40332550749,46.7937796376444,20.8577283372365,46.496895998303,29.0910421545667,0.552516935519754,0.233556853977117,1698.00046379073,2569.06067880976,23.1305870063888,318.817355354189,204.010824536843,302.257806238693,165.0,62.5186513629842,26.0,14.3836552151753,348604.0,48.1931280076149,84.6920277540912,4750.07318501171,8797.02137002342,83.4309133489461,46.6554449648712,ShiftImage__
50,Metallic,84.62634615254,100.953985898357,23.1406740213938,15.3688524590164,33.9685794550427,23.0532786885246,0.27344526939261204,0.262110716243985,906.242972867728,1353.73830100204,16.9842897275213,219.86155658692,181.061500809293,208.441826187157,255.0,102.228390957447,20.0,62.5027714689034,307503.0,23.6319353425233,84.62634615254,8758.59923887588,12773.7119437939,46.6554449648712,72.4531615925059,ShiftImage__
51,Non-metallic,84.0064617354099,163.956115500667,54.2037234280052,28.5421545667447,53.5552634063449,52.1443208430913,0.645232786957834,0.298568659473052,2252.65249605452,3015.20893886581,26.6033699967106,324.783795096444,211.849523093267,307.914345813039,86.0,63.3247932763996,45.0,5.78782822649995,467147.0,54.4357091054047,84.0064617354099,10029.8228922717,7092.17652224824,69.1598360655738,59.8287470725995,ShiftImage__
52,Non-metallic,83.3333122680996,135.138237921561,35.4300019369401,26.3466042154567,43.7510763813858,31.2865925058548,0.425160130716451,0.24562772648048498,1503.37514448469,2297.70905213092,21.8755381906929,292.52591712054,197.417996398184,277.33195979431,76.0,57.4672822159775,29.0,7.92072533317079,286302.0,38.1674527043085,83.3333122680996,10159.3603629977,12566.781323185,43.3621194379391,80.686475409836,ShiftImage__
53,Non-metallic,82.803341613648,89.4230904328967,11.0495071331343,5.48887587822014,21.6685164601566,6.58665105386417,0.133442768344908,0.147288273516763,368.763762895645,698.044076224928,10.8342582300783,187.093799263021,170.785003667846,177.376044234726,161.0,63.6209150326797,30.0,16.4131728285536,77872.0,12.2445698825018,82.803341613648,12983.3870023419,12543.1791569087,64.2198477751756,51.5954332552693,ShiftImage__
